user_id,username,login_date,game_genre,device,session_duration,score,in_game_purchase
1,user_1,2024-04-12,Strategy,Console,160,56.1,2.04
2,user_2,2024-06-28,Strategy,Mobile,196,65.8,2.51
3,user_3,2024-04-02,Action,Mobile,100,69.4,3.77
4,user_4,2024-01-15,Sports,Mobile,107,70.2,0.88
5,user_5,2024-04-16,Casual,Console,129,94.2,4.24
6,user_6,2024-03-12,Strategy,Console,55,83.4,8.18
7,user_7,2024-01-21,Action,PC,47,58.3,7.14
8,user_8,2024-04-12,Casual,PC,151,78.7,0.84
9,user_9,2024-05-01,Sports,Console,109,82.5,0.81
10,user_10,2024-03-15,Strategy,Console,81,92.1,1.56
11,user_11,2024-03-28,Casual,Console,199,98.7,2.24
12,user_12,2024-04-26,Casual,Console,44,59.8,2.63
13,user_13,2024-04-09,Casual,PC,156,62.8,5.69
14,user_14,2024-04-13,Strategy,Console,39,56.1,0.29
15,user_15,2024-05-31,Strategy,PC,87,71.5,0.18
16,user_16,2024-05-10,RPG,Console,93,82.0,2.49
17,user_17,2024-05-29,Sports,Console,122,89.8,5.97
18,user_18,2024-02-22,Action,Console,34,73.9,1.07
19,user_19,2024-01-02,Casual,PC,177,70.2,5.13
20,user_20,2024-03-28,RPG,PC,97,77.3,1.5
21,user_21,2024-06-06,Action,Mobile,23,62.5,10.86
22,user_22,2024-02-07,RPG,Console,163,100.0,11.3
23,user_23,2024-05-09,Strategy,Mobile,111,50.9,1.76
24,user_24,2024-01-21,Casual,Mobile,224,77.8,1.31
25,user_25,2024-06-09,Action,PC,159,100.0,2.65
26,user_26,2024-02-27,Action,PC,185,75.1,1.38
27,user_27,2024-01-22,Action,Mobile,92,72.1,5.58
28,user_28,2024-03-29,Action,Console,119,69.6,8.75
29,user_29,2024-02-18,Action,PC,188,72.3,5.59
30,user_30,2024-02-28,RPG,Console,140,95.6,8.7
31,user_31,2024-06-18,Casual,Console,179,41.8,2.53
32,user_32,2024-01-15,Strategy,Mobile,28,98.0,0.85
33,user_33,2024-06-23,Strategy,Mobile,210,53.6,6.7
34,user_34,2024-02-20,Strategy,Mobile,37,71.0,2.24
35,user_35,2024-04-17,Strategy,Mobile,221,68.6,5.56
36,user_36,2024-02-24,RPG,PC,182,83.8,1.58
37,user_37,2024-03-04,Sports,PC,80,51.0,0.42
38,user_38,2024-05-10,Casual,Mobile,215,81.9,24.52
39,user_39,2024-02-20,Action,PC,72,100.0,0.85
40,user_40,2024-05-14,Sports,Mobile,82,54.6,22.29
41,user_41,2024-01-21,Strategy,Console,133,77.8,18.92
42,user_42,2024-03-13,Sports,Console,128,65.1,7.89
43,user_43,2024-06-15,Casual,Console,130,81.4,5.39
44,user_44,2024-01-18,Action,Mobile,28,75.3,4.31
45,user_45,2024-05-11,Action,Console,184,65.4,10.05
46,user_46,2024-03-29,Casual,PC,151,82.3,1.71
47,user_47,2024-02-29,Casual,Console,129,100.0,3.15
48,user_48,2024-01-14,Strategy,Console,175,72.1,4.83
49,user_49,2024-01-09,Action,Console,190,85.8,2.65
50,user_50,2024-03-30,Sports,PC,70,55.6,2.79
51,user_51,2024-02-22,RPG,Mobile,173,60.7,2.0
52,user_52,2024-05-09,RPG,PC,177,82.1,4.15
53,user_53,2024-03-24,Casual,Mobile,218,97.3,9.5
54,user_54,2024-04-01,Strategy,Mobile,39,80.3,1.13
55,user_55,2024-04-20,RPG,Console,18,70.3,13.62
56,user_56,2024-06-20,Action,Mobile,73,75.0,5.84
57,user_57,2024-01-08,Casual,PC,170,56.2,8.67
58,user_58,2024-06-23,Sports,PC,129,84.1,4.06
59,user_59,2024-02-04,Casual,Mobile,61,88.2,7.56
60,user_60,2024-03-21,Sports,Console,98,68.2,0.08
61,user_61,2024-06-12,Casual,Console,151,67.9,8.53
62,user_62,2024-02-19,Casual,PC,212,79.0,0.2
63,user_63,2024-04-13,Casual,Console,62,68.4,11.03
64,user_64,2024-05-11,Sports,Mobile,236,74.0,24.12
65,user_65,2024-01-02,Sports,Mobile,196,100.0,1.74
66,user_66,2024-05-13,Casual,PC,87,71.3,1.18
67,user_67,2024-02-23,RPG,Mobile,231,69.6,7.25
68,user_68,2024-04-15,Strategy,PC,50,65.3,1.46
69,user_69,2024-01-04,Strategy,Mobile,205,86.2,10.03
70,user_70,2024-02-23,Strategy,PC,77,72.3,0.54
71,user_71,2024-05-25,Sports,Console,229,65.3,0.67
72,user_72,2024-02-13,Sports,Mobile,17,94.8,19.35
73,user_73,2024-06-10,RPG,Mobile,11,96.3,5.6
74,user_74,2024-01-14,Strategy,PC,114,66.0,9.38
75,user_75,2024-04-04,Strategy,PC,134,47.0,1.96
76,user_76,2024-02-17,Casual,Mobile,119,90.1,5.64
77,user_77,2024-01-15,Sports,PC,95,64.7,4.51
78,user_78,2024-02-09,Strategy,Mobile,178,86.9,4.62
79,user_79,2024-03-22,RPG,Console,129,45.4,5.74
80,user_80,2024-04-20,RPG,PC,136,88.4,4.28
81,user_81,2024-02-22,Strategy,Mobile,192,56.8,2.8
82,user_82,2024-01-24,Sports,Console,25,86.0,1.61
83,user_83,2024-06-02,RPG,Console,230,75.2,7.32
84,user_84,2024-05-03,Casual,Mobile,71,60.7,1.28
85,user_85,2024-02-10,RPG,PC,122,68.9,5.89
86,user_86,2024-06-05,Action,Mobile,185,85.3,1.33
87,user_87,2024-01-15,Action,Console,167,76.6,4.91
88,user_88,2024-02-14,Sports,Mobile,21,83.8,6.87
89,user_89,2024-03-05,Strategy,PC,44,100.0,1.23
90,user_90,2024-03-29,Sports,Console,20,51.5,0.31
91,user_91,2024-03-11,Sports,Mobile,73,99.3,0.7
92,user_92,2024-01-09,Sports,PC,59,76.6,4.66
93,user_93,2024-03-28,Sports,Console,222,61.5,9.47
94,user_94,2024-05-08,Casual,PC,158,55.0,0.23
95,user_95,2024-05-15,Casual,Console,78,72.2,6.62
96,user_96,2024-03-03,RPG,Mobile,57,88.8,2.09
97,user_97,2024-05-18,Action,PC,29,73.1,3.26
98,user_98,2024-03-21,Sports,Console,110,97.7,13.22
99,user_99,2024-05-15,RPG,PC,204,53.2,2.02
100,user_100,2024-06-11,Action,PC,181,74.8,3.13
101,user_101,2024-06-11,Strategy,Mobile,170,56.2,0.07
102,user_102,2024-02-02,Casual,PC,210,80.5,0.43
103,user_103,2024-05-02,Action,Console,198,88.3,1.5
104,user_104,2024-01-05,Strategy,Console,146,68.7,0.14
105,user_105,2024-02-10,Action,Console,77,35.9,4.99
106,user_106,2024-01-28,Casual,Console,44,78.0,2.78
107,user_107,2024-05-14,Casual,Mobile,218,81.6,3.97
108,user_108,2024-03-12,RPG,PC,235,81.1,0.96
109,user_109,2024-01-12,Sports,Mobile,225,93.5,1.75
110,user_110,2024-06-10,Action,PC,233,58.9,5.45
111,user_111,2024-02-02,Action,PC,74,85.2,16.81
112,user_112,2024-02-17,Strategy,PC,17,92.9,0.26
113,user_113,2024-05-30,Casual,Mobile,54,48.3,11.05
114,user_114,2024-03-02,Action,PC,96,79.8,4.3
115,user_115,2024-02-06,Casual,Mobile,184,67.4,4.15
116,user_116,2024-04-08,Action,Console,177,73.8,3.47
117,user_117,2024-06-20,RPG,Console,85,80.2,0.36
118,user_118,2024-04-13,Sports,PC,191,67.7,0.47
119,user_119,2024-02-04,Action,Mobile,85,64.9,4.59
120,user_120,2024-04-10,Casual,Console,183,75.5,2.08
121,user_121,2024-06-23,RPG,Mobile,56,58.7,12.46
122,user_122,2024-05-10,Action,Mobile,24,58.7,2.61
123,user_123,2024-01-01,Strategy,PC,114,85.2,0.77
124,user_124,2024-01-05,Sports,Console,156,57.8,6.27
125,user_125,2024-05-21,Action,PC,35,85.0,1.74
126,user_126,2024-04-12,RPG,PC,61,81.9,3.73
127,user_127,2024-01-27,Strategy,Console,102,49.1,5.98
128,user_128,2024-05-16,RPG,Console,159,64.8,11.53
129,user_129,2024-01-15,RPG,Mobile,30,92.9,7.86
130,user_130,2024-03-30,Strategy,Console,60,60.3,5.64
131,user_131,2024-02-11,RPG,Mobile,47,68.0,5.69
132,user_132,2024-05-03,Strategy,Mobile,29,81.9,14.59
133,user_133,2024-06-27,Action,Mobile,166,86.8,1.75
134,user_134,2024-03-03,Strategy,Console,188,71.2,0.01
135,user_135,2024-04-05,Strategy,PC,141,66.0,1.59
136,user_136,2024-02-21,Sports,Mobile,64,96.3,1.23
137,user_137,2024-04-05,Strategy,PC,208,100.0,5.42
138,user_138,2024-05-11,Strategy,PC,101,89.7,5.02
139,user_139,2024-05-30,Action,Console,37,76.3,4.5
140,user_140,2024-05-22,Sports,PC,13,62.9,0.08
141,user_141,2024-06-19,Casual,PC,159,62.5,6.52
142,user_142,2024-01-29,Action,Console,85,82.8,1.95
143,user_143,2024-02-05,Action,Mobile,182,81.3,5.47
144,user_144,2024-01-13,Casual,PC,76,96.0,4.07
145,user_145,2024-06-08,Strategy,Console,95,84.8,2.1
146,user_146,2024-03-11,RPG,PC,203,52.5,0.72
147,user_147,2024-03-26,Sports,PC,225,90.8,0.5
148,user_148,2024-01-28,RPG,Mobile,171,60.0,8.9
149,user_149,2024-03-06,Casual,PC,100,69.2,12.53
150,user_150,2024-06-18,Action,Console,192,78.8,5.25
151,user_151,2024-02-14,Action,PC,114,100.0,0.55
152,user_152,2024-03-02,Sports,Mobile,10,100.0,2.57
153,user_153,2024-05-13,Action,Mobile,81,84.1,6.53
154,user_154,2024-01-28,Action,Console,96,72.3,7.57
155,user_155,2024-01-28,Sports,Mobile,175,83.0,0.63
156,user_156,2024-04-17,Sports,PC,15,88.3,0.0
157,user_157,2024-02-13,Casual,Mobile,223,70.2,6.23
158,user_158,2024-03-24,Action,Console,162,100.0,2.2
159,user_159,2024-01-30,Action,Mobile,219,78.5,1.47
160,user_160,2024-03-15,Casual,Mobile,154,82.5,0.06
161,user_161,2024-05-07,Strategy,Mobile,70,85.0,3.89
162,user_162,2024-04-01,Strategy,Console,21,81.3,9.52
163,user_163,2024-05-08,Strategy,Mobile,15,87.6,15.81
164,user_164,2024-04-30,Casual,Mobile,227,65.7,4.17
165,user_165,2024-01-27,Action,PC,36,66.6,3.61
166,user_166,2024-04-30,Casual,Console,145,58.5,0.44
167,user_167,2024-04-25,Casual,Mobile,220,81.6,3.98
168,user_168,2024-01-03,Strategy,Console,133,86.7,2.39
169,user_169,2024-04-12,RPG,Mobile,115,81.9,4.67
170,user_170,2024-06-03,Action,Mobile,202,100.0,2.46
171,user_171,2024-05-16,Strategy,Mobile,194,74.9,1.37
172,user_172,2024-03-02,RPG,PC,102,85.0,0.5
173,user_173,2024-06-13,RPG,PC,118,58.6,1.89
174,user_174,2024-02-20,Sports,PC,108,69.2,0.51
175,user_175,2024-06-20,Action,Console,177,85.4,0.97
176,user_176,2024-05-31,RPG,Console,151,87.7,21.85
177,user_177,2024-02-28,Strategy,PC,44,70.6,2.94
178,user_178,2024-04-27,Sports,Console,185,73.9,3.8
179,user_179,2024-06-08,Action,Mobile,93,52.2,10.34
180,user_180,2024-04-05,Casual,Mobile,65,69.6,27.1
181,user_181,2024-06-28,Strategy,Mobile,186,88.4,4.37
182,user_182,2024-04-22,RPG,PC,150,83.6,8.37
183,user_183,2024-03-02,RPG,Console,198,82.5,1.98
184,user_184,2024-02-21,Strategy,PC,239,75.7,1.82
185,user_185,2024-01-12,RPG,Console,58,75.1,2.58
186,user_186,2024-02-08,Sports,Mobile,55,65.1,5.58
187,user_187,2024-05-09,Action,PC,122,85.5,5.73
188,user_188,2024-05-10,Sports,Console,199,81.3,1.89
189,user_189,2024-04-22,RPG,Console,145,82.4,0.71
190,user_190,2024-04-10,Casual,Mobile,52,67.1,5.0
191,user_191,2024-04-22,Action,PC,157,42.7,0.69
192,user_192,2024-03-21,Action,PC,133,91.5,4.32
193,user_193,2024-04-22,Strategy,PC,106,67.8,5.91
194,user_194,2024-01-02,Strategy,Mobile,99,62.1,6.03
195,user_195,2024-05-09,Casual,PC,48,85.4,7.0
196,user_196,2024-02-23,Action,Mobile,94,69.1,10.31
197,user_197,2024-03-27,Casual,Mobile,186,90.9,3.47
198,user_198,2024-05-08,Strategy,Mobile,201,84.3,6.55
199,user_199,2024-05-26,Strategy,Console,71,85.3,4.83
200,user_200,2024-05-05,Action,PC,115,54.5,1.03
201,user_201,2024-05-09,Sports,PC,116,93.2,0.13
202,user_202,2024-02-22,RPG,Mobile,63,78.9,1.67
203,user_203,2024-06-20,Strategy,Mobile,135,69.5,2.93
204,user_204,2024-06-08,Strategy,PC,18,77.2,4.8
205,user_205,2024-06-08,Sports,Mobile,97,48.4,9.48
206,user_206,2024-03-08,Sports,PC,46,81.1,1.09
207,user_207,2024-05-02,Casual,Console,58,59.6,0.67
208,user_208,2024-05-24,Casual,Mobile,50,54.7,16.55
209,user_209,2024-02-07,RPG,PC,26,52.2,0.57
210,user_210,2024-01-24,RPG,Mobile,97,91.7,3.26
211,user_211,2024-03-09,Action,PC,30,65.6,4.4
212,user_212,2024-04-25,Casual,PC,60,98.0,3.9
